arm,arm_label,group,question_id,object,object_kind,tour_seen,day,weekday,weekend,hour,hour_bin,truth,truth_room,prediction,prediction_room,error_type,p_truth,p_prediction,n_selected_arms_wrong
active__graph_fixed__graph_anonymized__f0,"graph LLM, fixed set, anonymized",anonymized,q0113,charger_mara,personal,False,1,Tue,False,9.01,morning 6-12,OUT_OF_HOUSE,out of house,ON_PERSON,on person,carried/away swap,0.2856,0.2856,7
active__graph_fixed__graph_anonymized__f0,"graph LLM, fixed set, anonymized",anonymized,q0065,mug_mara,personal,True,1,Tue,False,9.17,morning 6-12,counter_k1,kitchen,chair_k1,kitchen,"right room, wrong spot",0.2767,0.5340,2
active__graph_fixed__graph_anonymized__f0,"graph LLM, fixed set, anonymized",anonymized,q0108,keys_mara,personal,False,1,Tue,False,11.79,morning 6-12,OUT_OF_HOUSE,out of house,entry_table_e1,entry,missed away,0.1082,0.5474,10
active__graph_fixed__graph_anonymized__f0,"graph LLM, fixed set, anonymized",anonymized,q0117,jacket_mara,personal,False,1,Tue,False,12.37,afternoon 12-18,OUT_OF_HOUSE,out of house,sink_k1,kitchen,missed away,0.1519,0.3158,9
active__graph_fixed__graph_anonymized__f0,"graph LLM, fixed set, anonymized",anonymized,q0081,headphones_mara,personal,False,1,Tue,False,13.19,afternoon 12-18,OUT_OF_HOUSE,out of house,kitchen_table_k1,kitchen,missed away,0.1373,0.3654,7
active__graph_fixed__graph_anonymized__f0,"graph LLM, fixed set, anonymized",anonymized,q0116,laptop_mara,personal,False,1,Tue,False,13.62,afternoon 12-18,OUT_OF_HOUSE,out of house,kitchen_table_k1,kitchen,missed away,0.1283,0.3790,8
active__graph_fixed__graph_anonymized__f0,"graph LLM, fixed set, anonymized",anonymized,q0083,jacket_mara,personal,False,1,Tue,False,15.13,afternoon 12-18,OUT_OF_HOUSE,out of house,sink_k1,kitchen,missed away,0.1047,0.4135,9
active__graph_fixed__graph_anonymized__f0,"graph LLM, fixed set, anonymized",anonymized,q0091,backpack_mara,personal,False,1,Tue,False,15.50,afternoon 12-18,OUT_OF_HOUSE,out of house,couch_l1,living,missed away,0.0031,0.1759,9
active__graph_fixed__graph_anonymized__f0,"graph LLM, fixed set, anonymized",anonymized,q0073,headphones_mara,personal,False,1,Tue,False,16.76,afternoon 12-18,OUT_OF_HOUSE,out of house,kitchen_table_k1,kitchen,missed away,0.0937,0.4627,9
active__graph_fixed__graph_anonymized__f0,"graph LLM, fixed set, anonymized",anonymized,q0120,headphones_mara,personal,False,1,Tue,False,17.58,afternoon 12-18,OUT_OF_HOUSE,out of house,kitchen_table_k1,kitchen,missed away,0.0868,0.4686,9
active__graph_fixed__graph_anonymized__f0,"graph LLM, fixed set, anonymized",anonymized,q0127,phone_mara,personal,False,1,Tue,False,17.61,afternoon 12-18,OUT_OF_HOUSE,out of house,cupboard_k1,kitchen,missed away,0.0865,0.4688,9
active__graph_fixed__graph_anonymized__f0,"graph LLM, fixed set, anonymized",anonymized,q0110,glasses_mara,personal,False,1,Tue,False,18.72,evening 18-24,kitchen_table_k1,kitchen,counter_k1,kitchen,"right room, wrong spot",0.1110,0.1553,10
active__graph_fixed__graph_anonymized__f0,"graph LLM, fixed set, anonymized",anonymized,q0045,hairbrush_mara,personal,True,1,Tue,False,18.78,evening 18-24,bathroom_shelf_ba1,bathroom,nightstand_b1,bedroom,wrong room,0.2796,0.5339,6
active__graph_fixed__graph_anonymized__f0,"graph LLM, fixed set, anonymized",anonymized,q0044,jacket_mara,personal,False,1,Tue,False,19.64,evening 18-24,kitchen_table_k1,kitchen,sink_k1,kitchen,"right room, wrong spot",0.0207,0.5213,11
active__graph_fixed__graph_anonymized__f0,"graph LLM, fixed set, anonymized",anonymized,q0078,wallet_mara,personal,False,1,Tue,False,20.55,evening 18-24,dish_rack_k1,kitchen,counter_k1,kitchen,"right room, wrong spot",0.0211,0.1735,11
active__graph_fixed__graph_anonymized__f0,"graph LLM, fixed set, anonymized",anonymized,q0048,water_bottle_mara,personal,False,1,Tue,False,22.07,evening 18-24,couch_l1,living,kitchen_table_k1,kitchen,wrong room,0.2780,0.4212,7
active__graph_fixed__graph_anonymized__f0,"graph LLM, fixed set, anonymized",anonymized,q0066,glasses_mara,personal,False,1,Tue,False,22.32,evening 18-24,kitchen_table_k1,kitchen,counter_k1,kitchen,"right room, wrong spot",0.1495,0.2092,9
active__graph_fixed__graph_anonymized__f0,"graph LLM, fixed set, anonymized",anonymized,q0128,backpack_mara,personal,False,1,Tue,False,22.35,evening 18-24,entry_hook_e1,entry,counter_k1,kitchen,wrong room,0.0016,0.2088,9
active__graph_fixed__graph_anonymized__f0,"graph LLM, fixed set, anonymized",anonymized,q0084,plate_shared_2,shared,True,1,Tue,False,22.37,evening 18-24,kitchen_table_k1,kitchen,counter_k1,kitchen,"right room, wrong spot",0.0039,0.8934,9
active__graph_fixed__graph_anonymized__f0,"graph LLM, fixed set, anonymized",anonymized,q0076,phone_mara,personal,False,1,Tue,False,22.50,evening 18-24,nightstand_b1,bedroom,cupboard_k1,kitchen,wrong room,0.2907,0.4518,8
active__graph_fixed__graph_anonymized__f0,"graph LLM, fixed set, anonymized",anonymized,q0135,notebook_mara,personal,False,2,Wed,False,7.15,morning 6-12,OUT_OF_HOUSE,out of house,counter_k1,kitchen,missed away,0.0099,0.9212,10
active__graph_fixed__graph_anonymized__f0,"graph LLM, fixed set, anonymized",anonymized,q0168,charger_mara,personal,False,2,Wed,False,7.20,morning 6-12,OUT_OF_HOUSE,out of house,kitchen_table_k1,kitchen,missed away,0.0119,0.9075,9
active__graph_fixed__graph_anonymized__f0,"graph LLM, fixed set, anonymized",anonymized,q0182,keys_mara,personal,False,2,Wed,False,7.54,morning 6-12,OUT_OF_HOUSE,out of house,cupboard_k1,kitchen,missed away,0.0256,0.7741,9
active__graph_fixed__graph_anonymized__f0,"graph LLM, fixed set, anonymized",anonymized,q0194,notebook_mara,personal,False,2,Wed,False,8.15,morning 6-12,OUT_OF_HOUSE,out of house,counter_k1,kitchen,missed away,0.0100,0.9174,10
active__graph_fixed__graph_anonymized__f0,"graph LLM, fixed set, anonymized",anonymized,q0167,jacket_mara,personal,False,2,Wed,False,8.58,morning 6-12,OUT_OF_HOUSE,out of house,kitchen_table_k1,kitchen,missed away,0.0152,0.8550,10
active__graph_fixed__graph_anonymized__f0,"graph LLM, fixed set, anonymized",anonymized,q0221,makeup_kit_mara,personal,True,2,Wed,False,8.62,morning 6-12,kitchen_table_k1,kitchen,bathroom_shelf_ba1,bathroom,wrong room,0.0091,0.8688,8
active__graph_fixed__graph_anonymized__f0,"graph LLM, fixed set, anonymized",anonymized,q0218,headphones_mara,personal,False,2,Wed,False,8.92,morning 6-12,OUT_OF_HOUSE,out of house,cupboard_k1,kitchen,missed away,0.0251,0.7581,8
active__graph_fixed__graph_anonymized__f0,"graph LLM, fixed set, anonymized",anonymized,q0141,headphones_mara,personal,False,2,Wed,False,9.57,morning 6-12,OUT_OF_HOUSE,out of house,desk_b1,bedroom,missed away,0.1851,0.1851,8
active__graph_fixed__graph_anonymized__f0,"graph LLM, fixed set, anonymized",anonymized,q0154,lunchbox_mara,personal,True,2,Wed,False,9.78,morning 6-12,OUT_OF_HOUSE,out of house,sink_k1,kitchen,missed away,0.0245,0.7099,6
active__graph_fixed__graph_anonymized__f0,"graph LLM, fixed set, anonymized",anonymized,q0190,headphones_mara,personal,False,2,Wed,False,10.37,morning 6-12,OUT_OF_HOUSE,out of house,desk_b1,bedroom,missed away,0.1432,0.1432,8
active__graph_fixed__graph_anonymized__f0,"graph LLM, fixed set, anonymized",anonymized,q0203,charger_mara,personal,False,2,Wed,False,10.55,morning 6-12,OUT_OF_HOUSE,out of house,kitchen_table_k1,kitchen,missed away,0.1233,0.2729,8
active__graph_fixed__graph_anonymized__f0,"graph LLM, fixed set, anonymized",anonymized,q0179,lunchbox_mara,personal,True,2,Wed,False,11.42,morning 6-12,OUT_OF_HOUSE,out of house,sink_k1,kitchen,missed away,0.0231,0.6592,6
active__graph_fixed__graph_anonymized__f0,"graph LLM, fixed set, anonymized",anonymized,q0136,mug_mara,personal,True,2,Wed,False,11.64,morning 6-12,kitchen_table_k1,kitchen,counter_k1,kitchen,"right room, wrong spot",0.0987,0.4858,7
active__graph_fixed__graph_anonymized__f0,"graph LLM, fixed set, anonymized",anonymized,q0198,glasses_mara,personal,False,2,Wed,False,13.32,afternoon 12-18,OUT_OF_HOUSE,out of house,kitchen_table_k1,kitchen,missed away,0.0792,0.4696,9
active__graph_fixed__graph_anonymized__f0,"graph LLM, fixed set, anonymized",anonymized,q0195,pen_mara,personal,True,2,Wed,False,13.96,afternoon 12-18,counter_k1,kitchen,dish_rack_k1,kitchen,"right room, wrong spot",0.0657,0.7585,7
active__graph_fixed__graph_anonymized__f0,"graph LLM, fixed set, anonymized",anonymized,q0181,mug_mara,personal,True,2,Wed,False,15.36,afternoon 12-18,kitchen_table_k1,kitchen,counter_k1,kitchen,"right room, wrong spot",0.1001,0.4921,10
active__graph_fixed__graph_anonymized__f0,"graph LLM, fixed set, anonymized",anonymized,q0157,keys_mara,personal,False,2,Wed,False,16.18,afternoon 12-18,entry_table_e1,entry,cupboard_k1,kitchen,wrong room,0.2245,0.3454,8
active__graph_fixed__graph_anonymized__f0,"graph LLM, fixed set, anonymized",anonymized,q0149,jacket_mara,personal,False,2,Wed,False,16.58,afternoon 12-18,entry_hook_e1,entry,kitchen_table_k1,kitchen,wrong room,0.0061,0.4597,10
active__graph_fixed__graph_anonymized__f0,"graph LLM, fixed set, anonymized",anonymized,q0201,makeup_kit_mara,personal,True,2,Wed,False,16.66,afternoon 12-18,kitchen_table_k1,kitchen,bathroom_shelf_ba1,bathroom,wrong room,0.1161,0.7600,8
active__graph_fixed__graph_anonymized__f0,"graph LLM, fixed set, anonymized",anonymized,q0171,phone_mara,personal,False,2,Wed,False,16.86,afternoon 12-18,ON_PERSON,on person,cupboard_k1,kitchen,missed carried,0.0659,0.2625,11
active__graph_fixed__graph_anonymized__f0,"graph LLM, fixed set, anonymized",anonymized,q0137,pen_mara,personal,True,2,Wed,False,17.72,afternoon 12-18,chair_k1,kitchen,dish_rack_k1,kitchen,"right room, wrong spot",0.0050,0.7058,11
active__graph_fixed__graph_anonymized__f0,"graph LLM, fixed set, anonymized",anonymized,q0214,pot_shared_1,shared,True,2,Wed,False,17.93,afternoon 12-18,sink_k1,kitchen,cupboard_k1,kitchen,"right room, wrong spot",0.0086,0.8721,10
active__graph_fixed__graph_anonymized__f0,"graph LLM, fixed set, anonymized",anonymized,q0199,plate_shared_1,shared,True,2,Wed,False,18.06,evening 18-24,sink_k1,kitchen,kitchen_table_k1,kitchen,"right room, wrong spot",0.0080,0.8173,11
active__graph_fixed__graph_anonymized__f0,"graph LLM, fixed set, anonymized",anonymized,q0209,notebook_mara,personal,False,2,Wed,False,18.62,evening 18-24,chair_k1,kitchen,counter_k1,kitchen,"right room, wrong spot",0.0039,0.9105,11
active__graph_fixed__graph_anonymized__f0,"graph LLM, fixed set, anonymized",anonymized,q0158,glasses_mara,personal,False,2,Wed,False,18.77,evening 18-24,coffee_table_l1,living,kitchen_table_k1,kitchen,wrong room,0.0160,0.6285,11
active__graph_fixed__graph_anonymized__f0,"graph LLM, fixed set, anonymized",anonymized,q0189,laptop_mara,personal,False,2,Wed,False,19.69,evening 18-24,towel_rack_ba1,bathroom,kitchen_table_k1,kitchen,wrong room,0.0117,0.7548,11
active__graph_fixed__graph_anonymized__f0,"graph LLM, fixed set, anonymized",anonymized,q0144,pot_shared_1,shared,True,2,Wed,False,20.05,evening 18-24,sink_k1,kitchen,cupboard_k1,kitchen,"right room, wrong spot",0.0089,0.8962,11
active__graph_fixed__graph_anonymized__f0,"graph LLM, fixed set, anonymized",anonymized,q0212,glasses_mara,personal,False,2,Wed,False,21.80,evening 18-24,coffee_table_l1,living,kitchen_table_k1,kitchen,wrong room,0.1811,0.6046,8
active__graph_fixed__graph_anonymized__f0,"graph LLM, fixed set, anonymized",anonymized,q0132,phone_mara,personal,False,2,Wed,False,21.97,evening 18-24,ON_PERSON,on person,cupboard_k1,kitchen,missed carried,0.0495,0.2974,11
active__graph_fixed__graph_anonymized__f0,"graph LLM, fixed set, anonymized",anonymized,q0170,wallet_mara,personal,False,2,Wed,False,22.80,evening 18-24,towel_rack_ba1,bathroom,ON_PERSON,on person,false away,0.0630,0.1891,11
active__graph_fixed__graph_anonymized__f0,"graph LLM, fixed set, anonymized",anonymized,q0143,makeup_kit_mara,personal,True,2,Wed,False,23.38,evening 18-24,kitchen_table_k1,kitchen,bathroom_shelf_ba1,bathroom,wrong room,0.2075,0.6628,9
active__graph_fixed__graph_anonymized__f0,"graph LLM, fixed set, anonymized",anonymized,q0248,headphones_mara,personal,False,3,Thu,False,7.54,morning 6-12,OUT_OF_HOUSE,out of house,cupboard_k1,kitchen,missed away,0.0230,0.5380,9
active__graph_fixed__graph_anonymized__f0,"graph LLM, fixed set, anonymized",anonymized,q0268,phone_mara,personal,False,3,Thu,False,7.67,morning 6-12,OUT_OF_HOUSE,out of house,ON_PERSON,on person,carried/away swap,0.3559,0.3559,10
active__graph_fixed__graph_anonymized__f0,"graph LLM, fixed set, anonymized",anonymized,q0246,glasses_mara,personal,False,3,Thu,False,8.07,morning 6-12,cupboard_k1,kitchen,ON_PERSON,on person,false away,0.0038,0.2539,11
active__graph_fixed__graph_anonymized__f0,"graph LLM, fixed set, anonymized",anonymized,q0261,jacket_mara,personal,False,3,Thu,False,9.66,morning 6-12,entry_hook_e1,entry,kitchen_table_k1,kitchen,wrong room,0.2607,0.4099,6
active__graph_fixed__graph_anonymized__f0,"graph LLM, fixed set, anonymized",anonymized,q0287,medication_bottle_mara,personal,True,3,Thu,False,10.96,morning 6-12,counter_k1,kitchen,bathroom_shelf_ba1,bathroom,wrong room,0.1160,0.8036,10
active__graph_fixed__graph_anonymized__f0,"graph LLM, fixed set, anonymized",anonymized,q0249,medication_bottle_mara,personal,True,3,Thu,False,11.64,morning 6-12,counter_k1,kitchen,bathroom_shelf_ba1,bathroom,wrong room,0.1158,0.8018,9
active__graph_fixed__graph_anonymized__f0,"graph LLM, fixed set, anonymized",anonymized,q0225,laptop_mara,personal,False,3,Thu,False,13.23,afternoon 12-18,kitchen_table_k1,kitchen,towel_rack_ba1,bathroom,wrong room,0.1539,0.7004,8
active__graph_fixed__graph_anonymized__f0,"graph LLM, fixed set, anonymized",anonymized,q0298,jacket_mara,personal,False,3,Thu,False,13.33,afternoon 12-18,entry_hook_e1,entry,kitchen_table_k1,kitchen,wrong room,0.2684,0.4219,6
active__graph_fixed__graph_anonymized__f0,"graph LLM, fixed set, anonymized",anonymized,q0277,notebook_mara,personal,False,3,Thu,False,16.06,afternoon 12-18,cupboard_k1,kitchen,counter_k1,kitchen,"right room, wrong spot",0.0069,0.4585,11
active__graph_fixed__graph_anonymized__f0,"graph LLM, fixed set, anonymized",anonymized,q0257,keys_mara,personal,False,3,Thu,False,16.43,afternoon 12-18,OUT_OF_HOUSE,out of house,entry_table_e1,entry,missed away,0.0142,0.5248,10
active__graph_fixed__graph_anonymized__f0,"graph LLM, fixed set, anonymized",anonymized,q0263,pen_mara,personal,True,3,Thu,False,17.36,afternoon 12-18,counter_k1,kitchen,chair_k1,kitchen,"right room, wrong spot",0.0972,0.3277,9
active__graph_fixed__graph_anonymized__f0,"graph LLM, fixed set, anonymized",anonymized,q0303,plate_shared_1,shared,True,3,Thu,False,18.42,evening 18-24,kitchen_table_k1,kitchen,sink_k1,kitchen,"right room, wrong spot",0.3755,0.3777,4
active__graph_fixed__graph_anonymized__f0,"graph LLM, fixed set, anonymized",anonymized,q0283,laptop_mara,personal,False,3,Thu,False,18.42,evening 18-24,kitchen_table_k1,kitchen,towel_rack_ba1,bathroom,wrong room,0.2386,0.6123,7
active__graph_fixed__graph_anonymized__f0,"graph LLM, fixed set, anonymized",anonymized,q0294,keys_mara,personal,False,3,Thu,False,18.63,evening 18-24,chair_k2,kitchen,entry_table_e1,entry,wrong room,0.2310,0.5379,9
active__graph_fixed__graph_anonymized__f0,"graph LLM, fixed set, anonymized",anonymized,q0280,book_mara,personal,True,3,Thu,False,18.81,evening 18-24,sink_k1,kitchen,bookshelf_l1,living,wrong room,0.1205,0.5359,9
active__graph_fixed__graph_anonymized__f0,"graph LLM, fixed set, anonymized",anonymized,q0222,wallet_mara,personal,False,3,Thu,False,19.06,evening 18-24,chair_k2,kitchen,towel_rack_ba1,bathroom,wrong room,0.2203,0.5527,9
active__graph_fixed__graph_anonymized__f0,"graph LLM, fixed set, anonymized",anonymized,q0273,remote_shared_1,shared,True,3,Thu,False,19.18,evening 18-24,couch_l1,living,coffee_table_l1,living,"right room, wrong spot",0.0017,0.8923,10
active__graph_fixed__graph_anonymized__f0,"graph LLM, fixed set, anonymized",anonymized,q0296,backpack_mara,personal,False,3,Thu,False,22.46,evening 18-24,dish_rack_k1,kitchen,entry_hook_e1,entry,wrong room,0.2334,0.5500,9
active__graph_fixed__graph_anonymized__f0,"graph LLM, fixed set, anonymized",anonymized,q0383,remote_shared_1,shared,True,4,Fri,False,5.82,night 0-6,couch_l1,living,coffee_table_l1,living,"right room, wrong spot",0.0037,0.8930,4
active__graph_fixed__graph_anonymized__f0,"graph LLM, fixed set, anonymized",anonymized,q0316,wallet_mara,personal,False,4,Fri,False,7.17,morning 6-12,OUT_OF_HOUSE,out of house,dish_rack_k1,kitchen,missed away,0.0261,0.5010,10
active__graph_fixed__graph_anonymized__f0,"graph LLM, fixed set, anonymized",anonymized,q0364,lunchbox_mara,personal,True,4,Fri,False,7.54,morning 6-12,OUT_OF_HOUSE,out of house,ON_PERSON,on person,carried/away swap,0.4179,0.4179,3
active__graph_fixed__graph_anonymized__f0,"graph LLM, fixed set, anonymized",anonymized,q0353,glasses_mara,personal,False,4,Fri,False,8.39,morning 6-12,OUT_OF_HOUSE,out of house,kitchen_table_k1,kitchen,missed away,0.0148,0.9261,10
active__graph_fixed__graph_anonymized__f0,"graph LLM, fixed set, anonymized",anonymized,q0379,keys_mara,personal,False,4,Fri,False,9.35,morning 6-12,OUT_OF_HOUSE,out of house,entry_table_e1,entry,missed away,0.0236,0.7476,10
active__graph_fixed__graph_anonymized__f0,"graph LLM, fixed set, anonymized",anonymized,q0337,headphones_mara,personal,False,4,Fri,False,9.52,morning 6-12,OUT_OF_HOUSE,out of house,kitchen_table_k1,kitchen,missed away,0.0117,0.9257,9
active__graph_fixed__graph_anonymized__f0,"graph LLM, fixed set, anonymized",anonymized,q0366,phone_mara,personal,False,4,Fri,False,10.21,morning 6-12,OUT_OF_HOUSE,out of house,cupboard_k1,kitchen,missed away,0.0996,0.1050,10
active__graph_fixed__graph_anonymized__f0,"graph LLM, fixed set, anonymized",anonymized,q0315,keys_mara,personal,False,4,Fri,False,10.50,morning 6-12,OUT_OF_HOUSE,out of house,entry_table_e1,entry,missed away,0.0228,0.7154,10
active__graph_fixed__graph_anonymized__f0,"graph LLM, fixed set, anonymized",anonymized,q0312,charger_mara,personal,False,4,Fri,False,10.71,morning 6-12,OUT_OF_HOUSE,out of house,kitchen_table_k1,kitchen,missed away,0.0083,0.9465,10
active__graph_fixed__graph_anonymized__f0,"graph LLM, fixed set, anonymized",anonymized,q0327,notebook_mara,personal,False,4,Fri,False,11.37,morning 6-12,OUT_OF_HOUSE,out of house,counter_k1,kitchen,missed away,0.0783,0.5099,10
active__graph_fixed__graph_anonymized__f0,"graph LLM, fixed set, anonymized",anonymized,q0391,lunchbox_mara,personal,True,4,Fri,False,11.55,morning 6-12,OUT_OF_HOUSE,out of house,counter_k1,kitchen,missed away,0.0739,0.2890,6
active__graph_fixed__graph_anonymized__f0,"graph LLM, fixed set, anonymized",anonymized,q0373,charger_mara,personal,False,4,Fri,False,11.60,morning 6-12,OUT_OF_HOUSE,out of house,kitchen_table_k1,kitchen,missed away,0.0083,0.9471,9
active__graph_fixed__graph_anonymized__f0,"graph LLM, fixed set, anonymized",anonymized,q0346,pen_mara,personal,True,4,Fri,False,13.22,afternoon 12-18,counter_k1,kitchen,kitchen_table_k1,kitchen,"right room, wrong spot",0.2942,0.5200,6
active__graph_fixed__graph_anonymized__f0,"graph LLM, fixed set, anonymized",anonymized,q0350,backpack_mara,personal,False,4,Fri,False,13.29,afternoon 12-18,OUT_OF_HOUSE,out of house,entry_hook_e1,entry,missed away,0.0777,0.4741,8
active__graph_fixed__graph_anonymized__f0,"graph LLM, fixed set, anonymized",anonymized,q0322,laptop_mara,personal,False,4,Fri,False,13.64,afternoon 12-18,OUT_OF_HOUSE,out of house,kitchen_table_k1,kitchen,missed away,0.0124,0.8536,9
active__graph_fixed__graph_anonymized__f0,"graph LLM, fixed set, anonymized",anonymized,q0352,headphones_mara,personal,False,4,Fri,False,15.46,afternoon 12-18,OUT_OF_HOUSE,out of house,kitchen_table_k1,kitchen,missed away,0.1103,0.3258,9
active__graph_fixed__graph_anonymized__f0,"graph LLM, fixed set, anonymized",anonymized,q0390,keys_mara,personal,False,4,Fri,False,15.80,afternoon 12-18,OUT_OF_HOUSE,out of house,entry_table_e1,entry,missed away,0.0254,0.7636,10
active__graph_fixed__graph_anonymized__f0,"graph LLM, fixed set, anonymized",anonymized,q0361,notebook_mara,personal,False,4,Fri,False,15.81,afternoon 12-18,OUT_OF_HOUSE,out of house,counter_k1,kitchen,missed away,0.1141,0.3193,10
active__graph_fixed__graph_anonymized__f0,"graph LLM, fixed set, anonymized",anonymized,q0371,jacket_mara,personal,False,4,Fri,False,16.38,afternoon 12-18,OUT_OF_HOUSE,out of house,entry_hook_e1,entry,missed away,0.0631,0.3550,9
active__graph_fixed__graph_anonymized__f0,"graph LLM, fixed set, anonymized",anonymized,q0349,book_mara,personal,True,4,Fri,False,16.44,afternoon 12-18,sink_k1,kitchen,bookshelf_l1,living,wrong room,0.3528,0.3727,9
active__graph_fixed__graph_anonymized__f0,"graph LLM, fixed set, anonymized",anonymized,q0355,laptop_mara,personal,False,4,Fri,False,16.61,afternoon 12-18,OUT_OF_HOUSE,out of house,towel_rack_ba1,bathroom,missed away,0.0544,0.4148,9
active__graph_fixed__graph_anonymized__f0,"graph LLM, fixed set, anonymized",anonymized,q0321,lunchbox_mara,personal,True,4,Fri,False,17.52,afternoon 12-18,OUT_OF_HOUSE,out of house,counter_k1,kitchen,missed away,0.0770,0.2421,5
active__graph_fixed__graph_anonymized__f0,"graph LLM, fixed set, anonymized",anonymized,q0317,glasses_mara,personal,False,4,Fri,False,18.61,evening 18-24,coffee_table_l1,living,kitchen_table_k1,kitchen,wrong room,0.1353,0.4860,11
active__graph_fixed__graph_anonymized__f0,"graph LLM, fixed set, anonymized",anonymized,q0345,jacket_mara,personal,False,4,Fri,False,19.93,evening 18-24,entry_hook_e1,entry,sink_k1,kitchen,wrong room,0.2844,0.2932,1
active__graph_fixed__graph_anonymized__f0,"graph LLM, fixed set, anonymized",anonymized,q0410,keys_mara,personal,False,5,Sat,True,8.38,morning 6-12,OUT_OF_HOUSE,out of house,ON_PERSON,on person,carried/away swap,0.4652,0.4652,10
active__graph_fixed__graph_anonymized__f0,"graph LLM, fixed set, anonymized",anonymized,q0459,phone_mara,personal,False,5,Sat,True,9.28,morning 6-12,coffee_table_l1,living,ON_PERSON,on person,false away,0.0107,0.3853,10
active__graph_fixed__graph_anonymized__f0,"graph LLM, fixed set, anonymized",anonymized,q0446,keys_mara,personal,False,5,Sat,True,9.54,morning 6-12,OUT_OF_HOUSE,out of house,ON_PERSON,on person,carried/away swap,0.2243,0.2243,10
active__graph_fixed__graph_anonymized__f0,"graph LLM, fixed set, anonymized",anonymized,q0447,laptop_mara,personal,False,5,Sat,True,10.64,morning 6-12,bookshelf_l1,living,kitchen_table_k1,kitchen,wrong room,0.1805,0.7027,10
active__graph_fixed__graph_anonymized__f0,"graph LLM, fixed set, anonymized",anonymized,q0411,phone_mara,personal,False,5,Sat,True,11.41,morning 6-12,counter_k1,kitchen,nightstand_b1,bedroom,wrong room,0.0098,0.4128,11
active__graph_fixed__graph_anonymized__f0,"graph LLM, fixed set, anonymized",anonymized,q0457,mug_shared_1,shared,True,5,Sat,True,11.62,morning 6-12,dish_rack_k1,kitchen,cupboard_k1,kitchen,"right room, wrong spot",0.0073,0.8770,11
active__graph_fixed__graph_anonymized__f0,"graph LLM, fixed set, anonymized",anonymized,q0441,tablet_mara,personal,True,5,Sat,True,13.00,afternoon 12-18,counter_k1,kitchen,coffee_table_l1,living,wrong room,0.0076,0.8582,10
active__graph_fixed__graph_anonymized__f0,"graph LLM, fixed set, anonymized",anonymized,q0440,lunchbox_mara,personal,True,5,Sat,True,13.20,afternoon 12-18,counter_k1,kitchen,armchair_l1,living,wrong room,0.2388,0.2533,10
active__graph_fixed__graph_anonymized__f0,"graph LLM, fixed set, anonymized",anonymized,q0462,plate_shared_1,shared,True,5,Sat,True,13.27,afternoon 12-18,dish_rack_k1,kitchen,kitchen_table_k1,kitchen,"right room, wrong spot",0.0020,0.9076,10
