candidate_id,scene,occupant,activity,time_window,object_category,target_relationship,target_anchor,room,reason,assumed_from,judge_score,machine_band,machine_band_label,flag,band,notes
c017,102343992,Jane,organizing_recipes,21.0-21.5h,candle,in_region,kitchen,kitchen,Candles are organized and stored in the kitchen to keep them accessible for recipe use.,bedroom,0.20,1,contrived,,0,candles don't get moved to new rooms,
c018,102343992,Jane,organizing_recipes,21.0-21.5h,book,in_region,kitchen,kitchen,Books are organized and stored in the kitchen to keep them near the fridge for easy access.,wardrobe,0.10,0,absurd,,0,
c019,102343992,Emily,watching TV,22.5-23.5h,book,on_top,tv.couch_1,living_room,Placing a book on the couch for reading during commercial breaks or when switching activities.,none,0.80,3,typical,,2,more likely if the person isn't using their phone,
c020,102344022,James,eating_breakfast,8.1-8.5h,laptop,on_top,dining_room.counter_2,dining_room,A laptop might be used while having breakfast.,bedroom_1.bureau_1,0.80,3,typical,obvious-negative: electronics on the eating surface during a meal,2,
c021,102344022,Sophia,lunch,12.0-12.5h,laptop,on,dining_room.counter_2,dining_room,"A laptop might be used while having lunch, so it is placed on the counter for convenience.",dining_room.table_1,0.40,1,contrived,obvious-negative: electronics on the eating surface during a meal,1,
c022,102344022,Sophia,lunch,12.0-12.5h,phone,on,dining_room.counter_1,dining_room,A phone is often placed on a counter during lunch to keep it accessible.,living_room.sofa_1,0.50,2,plausible-uncommon,obvious-negative: electronics on the eating surface during a meal,2,
c023,102344022,Emily,lunch_break,18.5-19.0h,laptop,on_top,kitchen.counter_1,kitchen,"During a lunch break, Emily might use her laptop on the kitchen counter while eating.",none,0.60,2,plausible-uncommon,obvious-negative: electronics on the eating surface during a meal,2,
c024,102344022,Emily,lunch_break,18.5-19.0h,drinkware,on_top,kitchen.counter_1,kitchen,Emily is likely to place her lunch drink on the counter while eating.,none,0.90,3,typical,obvious-positive,3,
c025,102344022,Liam,snack,8.1-8.3h,bowl,on,dining_room.counter_2,dining_room,Liam might place a bowl of snacks on the counter for easy access.,dining_room.cabinet_1,0.70,2,plausible-uncommon,obvious-positive,2,
c026,102344022,Emily,breakfast,7.2-7.8h,bowl,on_top,kitchen.counter_1,kitchen,Emily is likely to place a bowl on the counter for serving breakfast items.,unknown,0.90,3,typical,obvious-positive,3,
c027,102344022,Liam,snack,8.1-8.3h,drinkware,on,dining_room.counter_1,dining_room,Liam might place a drink on the counter while having a quick snack.,kitchen.fridge_1,0.90,3,typical,obvious-positive,3,
c028,102344022,Sophia,relaxing_watching_tv,16.5-18.0h,bowl,on_top,living_room.table_1,living_room,Having a bowl of snacks ready while watching TV is typical.,kitchen.counter_1,0.90,3,typical,,3,
c029,102344022,James,watching_tv,20.3-21.5h,stool,near,living_room.table_1,living_room,using a stool as additional seating near the TV area,living_room.storage_1,0.45,2,plausible-uncommon,,2,
c030,102344022,James,watching_tv,20.3-21.5h,keys,next_to,living_room.table_1,living_room,placing keys next to the TV area for easy access after watching TV,pocket,0.40,1,contrived,,0,
c031,102344022,Liam,building_with_blocks,7.0-7.7h,candle,on_top,living_room.table_1,living_room,A candle might be used as a decorative or functional element in the block-building creation.,nearby surface or stored location,0.10,0,absurd,,0,
c032,102344022,Emily,breakfast,7.2-7.8h,chair,next_to,kitchen.counter_1,kitchen,Emily might bring a chair next to the counter to sit while eating breakfast.,dining_room,0.90,3,typical,,1,unlikely for teen to go through effort to move a chair,
c033,102344022,Sophia,relaxing_watching_tv,16.5-18.0h,stool,next_to,living_room.fireplace_1,living_room,Moving a stool to sit next to the fireplace while watching TV.,living_room.floor,0.60,2,plausible-uncommon,,1, less likely if there already is seating or a couch there
c034,102344022,Liam,toys_cleaning_intervention,8.0-8.1h,bottle,on,living_room.counter_1,living_room,Grouping bottles with other items that need to be cleaned or organized.,living_room.floor,0.30,1,contrived,,1,bottles aren't usually toys,
c035,102344022,Liam,story_time,14.3-15.0h,chair,next_to,living_room.fireplace_1,living_room,positioning a chair near the fireplace for comfortable seating during story time,nearby floor,0.80,3,typical,,2,might not go through the effort to move a big chair
c036,102344022,Liam,snack,8.1-8.3h,phone,on,dining_room.counter_1,dining_room,Liam might place his phone on the counter while having a snack.,bedroom_1.bedside_table_1,0.50,2,plausible-uncommon,obvious-negative: electronics on the eating surface during a meal,0,toddler unlikely to have a phone,
c037,102344022,Liam,sleeping,20.1-21.5h,vase,on,bedroom_1.cabinet_1,bedroom,Putting vase away to avoid spilling while sleeping,bedroom_1.bed_1,0.20,1,contrived,,0,vase should not be moved every night and should never be on bed,
c038,102344022,James,watching_tv,20.3-21.5h,bowl,on,living_room.table_1,living_room,using a bowl for snacks while watching TV is typical,kitchen.counter_1,0.85,3,typical,,3,
c039,102344022,James,relaxing_in_bed,22.0-23.0h,keys,near,bedroom_1.cabinet_1,bedroom,keeping keys near the bed in case of a late-night need,pocket or bag,0.50,2,plausible-uncommon,,1,keys should be put in one spot in the house out of routine,
c040,102344049,Sophia,helping_with_dishes,19.0-19.2h,drinkware,in_region,kitchen,kitchen,Drinkware is being moved to the kitchen for dishwashing.,,0.90,3,typical,,3,
c041,102344049,Sophia,sleeping,21.5-23.5h,potted_plant,in_region,bedroom,bedroom,"Moving a potted plant to the bedroom for a more personal, plant-filled sleeping environment.",,0.60,2,plausible-uncommon,,0,plants are never moved for nightly sleeping ambience
c042,102344049,James,go_to_bed,22.4-22.5h,wallet,in_region,bedroom,bedroom,James might put his wallet in the bedroom while getting ready for bed.,,0.25,1,contrived,,1,
c043,102344049,James,clean_up_after_dinner,19.3-20.1h,potted_plant,in_region,kitchen,kitchen,Potted plant might be moved to the kitchen for cleaning or repositioning.,,0.00,0,absurd,,0,
c044,102344049,Sophia,waking_up,8.5-8.7h,phone,in_region,bedroom,bedroom,Sophia might reach for her phone in the bedroom upon waking up.,,0.90,3,typical,,3,
c045,102344049,Sophia,waking_up,8.5-8.7h,keys,in_region,bedroom,bedroom,Keys may be retrieved from the bedroom as part of morning routine.,,0.70,2,plausible-uncommon,,1,keys are retrieved and kept in a pocket and not left out, 
c046,102344049,James,go_to_bed,22.4-22.5h,laptop,in_region,bedroom,bedroom,James may bring his laptop to the bedroom as he prepares for sleep.,,0.35,1,contrived,,1,
c047,102344049,James,clean_up_after_dinner,19.3-20.1h,candle,in_region,kitchen,kitchen,Candle may be moved to the kitchen for cleaning or storage.,,0.10,0,absurd,,0,
c048,102344049,James,clean_up_after_dinner,19.3-20.1h,drinkware,in_region,kitchen,kitchen,Drinkware could be placed in the kitchen sink or on the counter during cleanup.,,0.90,3,typical,,3,
c049,102344049,James,make_coffee,6.2-6.5h,bottle,in_region,kitchen,kitchen,To move the bottle to the kitchen for use in coffee preparation.,,0.70,2,plausible-uncommon,,1,a mug or other drinkware is more likely than a bottle,
c050,102344049,James,clean_up_after_dinner,19.3-20.1h,vase,in_region,kitchen,kitchen,Vase might be moved to the kitchen for cleaning or repositioning.,,0.20,1,contrived,,0,dinner cleanup would not involve moving the vase,
c051,102344049,Sophia,helping_with_dishes,19.0-19.2h,vase,in_region,kitchen,kitchen,Vase is being moved to the kitchen for dishwashing.,,0.10,0,absurd,,0,vase is not dishware,
c052,102344049,Emily,light_housework,14.0-14.5h,laptop,in_region,living_room,bathroom,Keeping the laptop in the living room area during light housework.,,0.80,3,typical,,1,unlikely for teen to bring laptop during housework,
c053,102344049,Emily,organizing_workspace,8.0-8.5h,potted_plant,in_region,bedroom,office,Emily might move the potted plant to the bedroom for better plant care or to organize the workspace in the living room.,,0.70,2,plausible-uncommon,,2,
c054,102344049,Emily,light_housework,11.0-11.5h,bowl,in_region,living_room,living_room,Emily might be moving a bowl to the living room for a snack or decoration.,,0.20,1,contrived,,1,unlikely to bring bowl out for light housework,
c055,102344049,Sophia,helping_with_dishes,19.0-19.2h,bowl,in_region,kitchen,kitchen,Bowl is being moved to the kitchen for dishwashing.,,0.90,3,typical,,3,
c056,102344049,James,wake_up,6.0-6.1h,wallet,in_region,bedroom,bedroom,The wallet could be left on the bedroom floor as James moves around after waking up.,,0.65,2,plausible-uncommon,,1,only likely if James is a messy person,
c057,102344049,James,go_to_bed,22.4-22.5h,keys,in_region,bedroom,bedroom,Keys could be placed in the bedroom as James undresses and prepares for bed.,,0.20,1,contrived,,1,only likely if James is a messy person,
c058,102344049,James,clean_up_after_dinner,19.3-20.1h,bottle,in_region,kitchen,kitchen,Bottle may be placed in the kitchen sink or on the counter while cleaning up.,,0.90,3,typical,,2,bottles are unusual items at dinner,
c059,102344049,Emily,light_housework,14.0-14.5h,keys,in_region,living_room,bathroom,Ensuring the keys remain in the living room area during light housework.,,0.55,2,plausible-uncommon,,1,unusual for keys to be stored in either the living room or bathroom and should instead be kept in a pocket or bedroom,
